_id,version,acc,avg_pre,avg_recall,avg_f1
666c0e85d644416c3aba7ebd,20,0.9866404308202155,0.6166410226062418,0.766427650872554,0.6732846188248283
666c0ecfd644416c3aba7ec2,21,0.9861226180613091,0.5961948159545667,0.7659650714745971,0.6604480813404049
666c0efdd644416c3aba7ec7,22,0.9867439933719967,0.5882747465183412,0.7665312134243346,0.6555593633199562
666c0f2cd644416c3aba7ecc,23,0.9565037282518641,0.5993667889691215,0.7416817900869229,0.6528337312239819
666c0f5bd644416c3aba7ed1,24,0.9862261806130903,0.6019647295538089,0.7660923054667852,0.6640186201636358
666c0fa9d644416c3aba7ed6,25,0.933927091963546,0.6069238963191008,0.7237362080982586,0.6505192727457199
666c0fdad644416c3aba7edb,26,0.9867439933719967,0.6073598453466055,0.7665312134243346,0.6675444094806441
666c1009d644416c3aba7ee0,27,0.984983429991715,0.599317473468276,0.7650596388790234,0.6618696230684924
666c1036d644416c3aba7ee5,28,0.9867439933719967,0.621197774884618,0.7665312134243347,0.6760543842706495
666c1080d644416c3aba7eea,29,0.9455260977630489,0.6801436067384694,0.7331679620204862,0.6931738120709313
666c10aed644416c3aba7eef,30,0.9841549295774648,0.7014567798950561,0.7644652227087998,0.7185309407512985
666c10dad644416c3aba7ef4,31,0.9081400165700083,0.5532074801751765,0.7022476361436555,0.6098343256192791
666c1107d644416c3aba7ef9,32,0.9183927091963546,0.6254842782183299,0.7108005878407657,0.653549775999796
666c1152d644416c3aba7efe,33,0.9043082021541011,0.5811871227364257,0.6985116581843948,0.6252968956756633
666c1181d644416c3aba7f03,34,0.8943661971830986,0.6098660590996994,0.6917098999224057,0.6366923439557316
666c11aed644416c3aba7f08,35,0.9378624689312345,0.6100347181126048,0.7260977630488784,0.6517518730834184
666c11dbd644416c3aba7f0d,36,0.9412800331400166,0.6022655541089753,0.7286899501584638,0.648070750284648
666c1226d644416c3aba7f12,37,0.9323736536868269,0.6296474927999408,0.7219020002367111,0.6612713066257082
666c1255d644416c3aba7f17,38,0.8721002485501242,0.6523848976210171,0.6738982917110456,0.6503803691123969
666c1282d644416c3aba7f1c,39,0.8566694283347142,0.5973635933246549,0.6610096855643617,0.6162090771075092
666c12afd644416c3aba7f21,40,0.9608533554266777,0.6315589616128223,0.7453717402453898,0.6716256212358372
666c12fcd644416c3aba7f26,41,0.9588856669428335,0.6470884128299255,0.7438125484935728,0.6798475480635937
