_id,version,acc,avg_pre,avg_recall,avg_f1,task,pretrained,classifier
666d34ef0c924b94e4d30f7c,39,0.5132669983416253,0.5174400076617158,0.48649097592254376,0.4898359421205174,cls,distilbert-base-multilingual-cased,lstm
666d35190c924b94e4d30f80,40,0.5223880597014925,0.5249688203096172,0.4627424787609664,0.4546804442737303,cls,distilbert-base-multilingual-cased,lstm
666d356c0c924b94e4d30f84,41,0.5223880597014925,0.5301203193248848,0.4994532910826393,0.5036185869769078,cls,distilbert-base-multilingual-cased,lstm
666d35970c924b94e4d30f88,42,0.5348258706467661,0.46932869109205094,0.45808511931482787,0.40410893935807146,cls,distilbert-base-multilingual-cased,lstm
666d35c10c924b94e4d30f8c,43,0.5265339966832504,0.5264753514123964,0.4980208558022748,0.5019587621410954,cls,distilbert-base-multilingual-cased,lstm
666d35eb0c924b94e4d30f90,44,0.5290215588723052,0.4841958033824179,0.4767070091866521,0.4603722775147007,cls,distilbert-base-multilingual-cased,lstm
666d36400c924b94e4d30f94,45,0.5049751243781094,0.5313634293933961,0.4494064731031699,0.43723504547223735,cls,distilbert-base-multilingual-cased,lstm
666d366a0c924b94e4d30f98,46,0.5364842454394693,0.5237167289422481,0.47462919708816836,0.46239387005195126,cls,distilbert-base-multilingual-cased,lstm
666d36930c924b94e4d30f9c,47,0.5480928689883914,0.5029231421697443,0.4760328005530952,0.4371626013740999,cls,distilbert-base-multilingual-cased,lstm
666d36bb0c924b94e4d30fa0,48,0.521558872305141,0.4803333227038739,0.4615601375955312,0.431663782173838,cls,distilbert-base-multilingual-cased,lstm
666d370d0c924b94e4d30fa4,49,0.5447761194029851,0.5140892535257163,0.4879175369338474,0.4760553504322198,cls,distilbert-base-multilingual-cased,lstm
666d37360c924b94e4d30fa8,50,0.5265339966832504,0.5454177570216128,0.5083490430116513,0.5068568045800047,cls,distilbert-base-multilingual-cased,lstm
666d375f0c924b94e4d30fac,51,0.5082918739635157,0.49113156317218526,0.44356196627145555,0.3941463030020389,cls,distilbert-base-multilingual-cased,lstm
666d37880c924b94e4d30fb0,52,0.5066334991708126,0.5111102349372572,0.44267047024212003,0.3848465169025614,cls,distilbert-base-multilingual-cased,lstm
