_id,version,acc,avg_pre,avg_recall,avg_f1,task,pretrained,classifier
666fe57297af7b4067f533d2,21,0.5348258706467661,0.5033644649114954,0.4760079766738116,0.46345292549031125,cls,distilbert-base-multilingual-cased,lstm
666fe58e97af7b4067f533d6,22,0.5232172470978441,0.48814137807477187,0.4877100877000293,0.4834267660131994,cls,distilbert-base-multilingual-cased,lstm
666fe5ab97af7b4067f533da,23,0.5373134328358209,0.5081051204429861,0.4923907460277664,0.48929806854966573,cls,distilbert-base-multilingual-cased,lstm
666fe5c797af7b4067f533de,24,0.5373134328358209,0.517765946760422,0.48753621594231483,0.4842116461002867,cls,distilbert-base-multilingual-cased,lstm
666fe5e397af7b4067f533e2,25,0.538971807628524,0.514642774426629,0.4931263564634191,0.49089976974592364,cls,distilbert-base-multilingual-cased,lstm
666fe5ff97af7b4067f533e6,26,0.5099502487562189,0.4806827431458451,0.4628725329859202,0.45409429217655334,cls,distilbert-base-multilingual-cased,lstm
666fe61c97af7b4067f533ea,27,0.5265339966832504,0.5010915186866274,0.468437056849161,0.45555603062063904,cls,distilbert-base-multilingual-cased,lstm
666fe63897af7b4067f533ee,28,0.5298507462686567,0.5068700214541153,0.4668300175919769,0.45193730374388746,cls,distilbert-base-multilingual-cased,lstm
666fe65497af7b4067f533f2,29,0.5281923714759535,0.537662841196622,0.4637933673281193,0.45091672110877606,cls,distilbert-base-multilingual-cased,lstm
666fe67097af7b4067f533f6,30,0.5298507462686567,0.5411940747424618,0.4736627779776241,0.46914517458797933,cls,distilbert-base-multilingual-cased,lstm
666fe68d97af7b4067f533fa,31,0.5348258706467661,0.5238217115039167,0.48607709044975983,0.48528811634468266,cls,distilbert-base-multilingual-cased,lstm
666fe6a997af7b4067f533fe,32,0.5381426202321725,0.5235686052679344,0.48955951350261584,0.4884903160347002,cls,distilbert-base-multilingual-cased,lstm
666fe6c597af7b4067f53402,33,0.5514096185737977,0.5329394845863437,0.4892967074033738,0.47729467100486206,cls,distilbert-base-multilingual-cased,lstm
666fe6e197af7b4067f53406,34,0.5414593698175788,0.5288937858302544,0.4772049126726867,0.4626794095895554,cls,distilbert-base-multilingual-cased,lstm
666fe6fe97af7b4067f5340a,35,0.5406301824212272,0.5347667677867062,0.4856151978296365,0.4818195161507617,cls,distilbert-base-multilingual-cased,lstm
666fe71a97af7b4067f5340e,36,0.5398009950248757,0.5243074910194475,0.47787668791643584,0.4663897982964138,cls,distilbert-base-multilingual-cased,lstm
666fe73697af7b4067f53412,37,0.5356550580431177,0.522523134930346,0.47641309753896205,0.46745502911708203,cls,distilbert-base-multilingual-cased,lstm
666fe75297af7b4067f53416,38,0.5406301824212272,0.5230872046064144,0.4785452975512721,0.4667145148188323,cls,distilbert-base-multilingual-cased,lstm
666fe76f97af7b4067f5341a,39,0.5339966832504146,0.5252889751690711,0.473196420472582,0.46329010579194146,cls,distilbert-base-multilingual-cased,lstm
666fe78c97af7b4067f5341e,40,0.511608623548922,0.5140570846339264,0.4503992410906828,0.43767095060858763,cls,distilbert-base-multilingual-cased,lstm
666fe7a997af7b4067f53422,41,0.5240464344941956,0.5171346710126956,0.46006170900379556,0.44633727263162454,cls,distilbert-base-multilingual-cased,lstm
666fe7c797af7b4067f53426,42,0.5323383084577115,0.5100654469602447,0.46763483649657495,0.4508747160223412,cls,distilbert-base-multilingual-cased,lstm
666fe7e497af7b4067f5342a,43,0.5364842454394693,0.513553922982736,0.476431815922099,0.4618339342410797,cls,distilbert-base-multilingual-cased,lstm
666fe80197af7b4067f5342e,44,0.543117744610282,0.5226492759119595,0.48396971431673336,0.4728820666099908,cls,distilbert-base-multilingual-cased,lstm
666fe81e97af7b4067f53432,45,0.5290215588723052,0.4833091452896774,0.4668947611760033,0.4481833447649986,cls,distilbert-base-multilingual-cased,lstm
666fe83c97af7b4067f53436,46,0.5439469320066335,0.5188107031857031,0.480438100454075,0.46324478730020835,cls,distilbert-base-multilingual-cased,lstm
666fe85997af7b4067f5343a,47,0.5381426202321725,0.50921789986452,0.47364565065705383,0.4551847348873075,cls,distilbert-base-multilingual-cased,lstm
666fe87797af7b4067f5343e,48,0.5373134328358209,0.49521625962739146,0.48232163225181823,0.46487442252258676,cls,distilbert-base-multilingual-cased,lstm
666fe89597af7b4067f53442,49,0.5323383084577115,0.4814136180788105,0.47786866653872107,0.45786567207528406,cls,distilbert-base-multilingual-cased,lstm
666fe8b297af7b4067f53446,50,0.5323383084577115,0.4948248033063354,0.4766654488706814,0.4640268566901746,cls,distilbert-base-multilingual-cased,lstm
666fe8d097af7b4067f5344a,51,0.5190713101160862,0.4715294405601847,0.4602327564878192,0.4381459822209763,cls,distilbert-base-multilingual-cased,lstm
666fe8ed97af7b4067f5344e,52,0.5265339966832504,0.5063256933166969,0.4612903176080197,0.4292452176760235,cls,distilbert-base-multilingual-cased,lstm
666fe90a97af7b4067f53452,53,0.5373134328358209,0.507742807255221,0.46846283866922867,0.44622091437718775,cls,distilbert-base-multilingual-cased,lstm
